index,average game length
0,152
1,150.86
2,158.15
3,160.4
4,149.82
5,151.36
6,157.44
7,150.65
8,168.33
9,148.17
10,160.63
11,157.89
12,158
13,155.42
14,157.94
15,150.88
16,157.55
17,155.76
18,162.11
19,154.41
20,167.47
21,172.08
22,148.55
23,163.82
24,150.37
25,165.11
26,156.48
27,160.26
28,170.47
29,157.86
30,154.54
31,151.89
32,158.8
33,159.14
34,158.17
35,159.11
36,164.26
37,171.78
38,170.47
39,153.24
40,165.98
41,166.35
42,151.36
43,162.07
44,170.26
45,154.02
46,165.8
47,152.68
48,168.78
49,168.7
50,170.46
51,174.41
52,160.38
53,168.03
54,161.68
55,167.99
56,159.11
57,173.68
58,158.55
59,161.26
60,166.47
61,158.03
62,163.18
63,161.92
64,161.15
65,155.42
66,163.29
67,162.88
68,157.09
69,161.26
70,157.84
71,145.51
72,153.23
73,163.27
74,171.02
75,150.74
76,153.42
77,163.69
78,151.86
79,163.72
80,161.45
81,147.72
82,166.66
83,156.44
84,153.56
85,161.32
86,163.72
87,153.51
88,154.74
89,167.19
90,170.01
91,162.22
92,162.56
93,158.19
94,156.64
95,165.83
96,164.42
97,168.24
98,159.42
99,166.26
