index,average game length
0,93
1,140.16
2,147.5
3,131.03
4,157.04
5,133.78
6,141.31
7,142.19
8,139.71
9,135.69
10,126.29
11,132.67
12,125.86
13,144.02
14,140.95
15,150.37
16,143.89
17,140.99
18,149.02
19,139.7
20,146.34
21,144.18
22,143.79
23,132.56
24,138.75
25,137.69
26,144.24
27,144.05
28,135.19
29,149.57
30,130.44
31,142.36
32,145.1
33,143.71
34,143.19
35,152.09
36,135.84
37,147.95
38,148.77
39,141.52
40,146.07
41,132.59
42,137.22
43,160.22
44,141.86
45,148.1
46,151.42
47,148.96
48,154.3
49,144.14
50,149.43
51,142.76
52,157.06
53,147.36
54,152.89
55,158.49
56,162.06
57,164
58,147.33
59,163.13
60,147.03
61,158.99
62,151.01
63,144.92
64,151.58
65,158.37
66,155.02
67,152.53
68,150.15
69,162.01
70,170.88
71,161.54
72,154.63
73,168.53
74,167.68
75,167.9
76,155.88
77,167.36
78,162.17
79,169.13
80,164.78
81,170.46
82,165.57
83,167.3
84,171.57
85,166.43
86,173.07
87,162.65
88,169.57
89,176
90,175.38
91,180.76
92,184.59
93,186.47
94,179.36
95,180.53
96,184.85
97,183.2
98,184.03
99,183.5
