index,average game length
0,48
1,77.71
2,88.74
3,80.54
4,77.03
5,89.36
6,82.54
7,76.58
8,84.04
9,75.52
10,73.8
11,83.44
12,74.12
13,80.01
14,69.54
15,75.27
16,75.93
17,84.26
18,84.09
19,83.73
20,76.74
21,79.86
22,86.61
23,88.21
24,69.06
25,65.71
26,74.46
27,88.18
28,84.85
29,95.42
30,75.97
31,77.35
32,81.36
33,78.97
34,75.36
35,82.92
36,77.41
37,78.54
38,73.06
39,97.6
40,72.52
41,78.19
42,89.47
43,87.65
44,82.99
45,95.47
46,80.22
47,74.15
48,91.33
49,73.19
50,84.97
51,84.44
52,77.08
53,94.61
54,77.36
55,95.16
56,76.84
57,93.54
58,89
59,84.49
60,96.58
61,105.41
62,81.61
63,94.88
64,85.86
65,99.51
66,96.64
67,87.98
68,90.3
69,94.18
70,99.96
71,103.88
72,92.93
73,115
74,101.74
75,103.55
76,97.12
77,105.78
78,100.27
79,111.61
80,108.08
81,109.42
82,101.25
83,106.79
84,114.19
85,106.09
86,124.24
87,116.4
88,121.19
89,108.74
90,112.23
91,108.25
92,131.48
93,135.88
94,134.34
95,124.96
96,132.68
97,128.89
98,137.45
99,148.99
